,county,date,level,case
0,Alameda County,2022-02-24,Low,9.1
1,Alameda County,2022-03-03,Medium,7.4
2,Alameda County,2022-03-10,Low,6.0
3,Alameda County,2022-03-24,Low,3.8
4,Alameda County,2022-03-17,Low,4.1
5,Alameda County,2022-03-31,Low,3.1
6,Alameda County,2022-04-07,Low,2.3
7,Alpine County,2022-02-24,Medium,14.7
8,Alpine County,2022-03-03,Low,5.6
9,Alpine County,2022-03-10,Low,6.2
10,Alpine County,2022-03-24,Low,2.2
11,Alpine County,2022-03-17,Low,3.8
12,Alpine County,2022-03-31,Low,3.2
13,Alpine County,2022-04-07,Low,2.9
14,Amador County,2022-02-24,Medium,15.5
15,Amador County,2022-03-03,High,12.1
16,Amador County,2022-03-10,Low,8.5
17,Amador County,2022-03-24,Low,5.5
18,Amador County,2022-03-17,Low,6.5
19,Amador County,2022-03-31,Low,3.8
20,Amador County,2022-04-07,Low,3.3
21,Butte County,2022-02-24,High,16.6
22,Butte County,2022-03-03,Medium,17.9
23,Butte County,2022-03-10,Medium,13.1
24,Butte County,2022-03-24,Low,7.7
25,Butte County,2022-03-17,Low,8.6
26,Butte County,2022-03-31,Low,5.4
27,Butte County,2022-04-07,Low,1.6
28,Calaveras County,2022-02-24,Medium,15.5
29,Calaveras County,2022-03-03,Medium,12.1
30,Calaveras County,2022-03-10,Low,8.5
31,Calaveras County,2022-03-24,Low,5.5
32,Calaveras County,2022-03-17,Low,6.5
33,Calaveras County,2022-03-31,Low,3.8
34,Calaveras County,2022-04-07,Low,3.3
35,Colusa County,2022-02-24,Medium,18.3
36,Colusa County,2022-03-03,Medium,13.7
37,Colusa County,2022-03-10,Medium,13.2
38,Colusa County,2022-03-24,Low,5.6
39,Colusa County,2022-03-17,Low,7.1
40,Colusa County,2022-03-31,Low,5.1
41,Colusa County,2022-04-07,Low,6.1
42,Contra Costa County,2022-02-24,Low,9.1
43,Contra Costa County,2022-03-03,Low,7.4
44,Contra Costa County,2022-03-10,Low,6.0
45,Contra Costa County,2022-03-24,Low,3.8
46,Contra Costa County,2022-03-17,Low,4.1
47,Contra Costa County,2022-03-31,Low,3.1
48,Contra Costa County,2022-04-07,Low,2.3
49,Del Norte County,2022-02-24,High,26.0
50,Del Norte County,2022-03-03,High,13.9
51,Del Norte County,2022-03-10,High,17.4
52,Del Norte County,2022-03-24,Medium,10.4
53,Del Norte County,2022-03-17,Medium,11.3
54,Del Norte County,2022-03-31,Low,6.1
55,Del Norte County,2022-04-07,Low,4.3
56,El Dorado County,2022-02-24,Medium,16.0
57,El Dorado County,2022-03-03,Medium,11.8
58,El Dorado County,2022-03-10,Low,8.3
59,El Dorado County,2022-03-24,Low,5.5
60,El Dorado County,2022-03-17,Low,8.6
61,El Dorado County,2022-03-31,Low,4.9
62,El Dorado County,2022-04-07,Low,4.0
63,Fresno County,2022-02-24,High,18.4
64,Fresno County,2022-03-03,Medium,15.0
65,Fresno County,2022-03-10,Medium,10.2
66,Fresno County,2022-03-24,Low,4.9
67,Fresno County,2022-03-17,Low,8.2
68,Fresno County,2022-03-31,Low,5.4
69,Fresno County,2022-04-07,Low,3.5
70,Glenn County,2022-02-24,High,16.6
71,Glenn County,2022-03-03,Medium,17.9
72,Glenn County,2022-03-10,Medium,13.1
73,Glenn County,2022-03-24,Low,7.7
74,Glenn County,2022-03-17,Low,8.6
75,Glenn County,2022-03-31,Low,5.4
76,Glenn County,2022-04-07,Low,1.6
