,county,population,area
0,Alameda County,"1,648,556",738
1,Alpine County,"1,235",739
2,Amador County,"41,259",606
3,Butte County,"208,309","1,640"
4,Calaveras County,"46,221","1,020"
5,Colusa County,"21,917","1,151"
6,Contra Costa County,"1,161,413",720
7,Del Norte County,"28,100","1,008"
8,El Dorado County,"193,221","1,712"
9,Fresno County,"1,013,581","5,963"
10,Glenn County,"28,805","1,315"
11,Humboldt County,"136,310","3,573"
12,Imperial County,"179,851","4,175"
13,Inyo County,"18,970","10,192"
14,Kern County,"917,673","8,142"
15,Kings County,"153,443","1,390"
16,Lake County,"68,766","1,258"
17,Lassen County,"33,159","4,558"
18,Los Angeles County,"9,829,544","4,060"
19,Madera County,"159,410","2,138"
20,Marin County,"260,206",520
21,Mariposa County,"17,147","1,451"
22,Mendocino County,"91,305","3,509"
23,Merced County,"286,461","1,929"
24,Modoc County,"8,661","3,944"
25,Mono County,"13,247","3,044"
26,Monterey County,"437,325","3,322"
27,Napa County,"136,207",754
28,Nevada County,"103,487",958
29,Orange County,"3,167,809",948
30,Placer County,"412,300","1,407"
31,Plumas County,"19,915","2,554"
32,Riverside County,"2,458,395","7,208"
33,Sacramento County,"1,588,921",966
34,San Benito County,"66,677","1,389"
35,San Bernardino County,"2,194,710","20,062"
36,San Diego County,"3,286,069","4,204"
37,San Francisco County,"815,201",47
38,San Joaquin County,"789,410","1,399"
39,San Luis Obispo County,"283,159","3,304"
40,San Mateo County,"737,888",449
41,Santa Barbara County,"446,475","2,738"
42,Santa Clara County,"1,885,508","1,291"
43,Santa Cruz County,"267,792",446
44,Shasta County,"182,139","3,786"
45,Sierra County,"3,283",953
46,Siskiyou County,"44,118","6,287"
47,Solano County,"451,716",828
48,Sonoma County,"485,887","1,576"
49,Stanislaus County,"552,999","1,495"
50,Sutter County,"99,063",603
51,Tehama County,"65,498","2,951"
52,Trinity County,"16,060","3,179"
53,Tulare County,"477,054","4,824"
54,Tuolumne County,"55,810","2,236"
55,Ventura County,"839,784","1,846"
56,Yolo County,"216,986","1,012"
57,Yuba County,"83,421",630
