,county,date,dose_1_numb,completion_number,booster_number
0,Alameda County,2022-05-10,1519925,1374526,848211
1,Alameda County,2022-05-09,1519822,1374455,848008
2,Alameda County,2022-05-08,1519637,1374312,847627
3,Alameda County,2022-05-07,1519216,1373985,846803
4,Alameda County,2022-05-06,1518927,1373734,846118
5,Alameda County,2022-05-05,1518566,1373471,845552
6,Alameda County,2022-05-04,1518265,1373215,844965
7,Alameda County,2022-05-03,1518028,1373025,844432
8,Alameda County,2022-05-02,1517925,1372960,844223
9,Alameda County,2022-05-01,1517780,1372837,843824
10,Alameda County,2022-04-30,1517368,1372492,842862
11,Alameda County,2022-04-29,1516833,1372132,841914
12,Alameda County,2022-04-28,1516371,1371881,841254
13,Alameda County,2022-04-27,1516028,1371668,840685
14,Alameda County,2022-04-26,1515717,1371498,840187
15,Alameda County,2022-04-25,1515580,1371433,839962
16,Alameda County,2022-04-24,1515379,1371279,839597
17,Alameda County,2022-04-23,1515083,1370982,838854
18,Alameda County,2022-04-22,1514770,1370746,838260
19,Alameda County,2022-04-21,1514454,1370544,837682
20,Alameda County,2022-04-20,1514117,1370236,837041
21,Alameda County,2022-04-19,1513837,1370049,836470
22,Alameda County,2022-04-18,1513763,1369991,836347
23,Alameda County,2022-04-17,1513603,1369860,835978
24,Alameda County,2022-04-16,1513199,1369516,835021
25,Alameda County,2022-04-15,1512793,1369222,834181
26,Alameda County,2022-04-14,1512394,1368849,833281
27,Alameda County,2022-04-13,1512044,1368582,832503
28,Alameda County,2022-04-12,1511754,1368328,831859
29,Alameda County,2022-04-11,1511627,1368226,831586
30,Alameda County,2022-04-10,1511438,1368067,831108
31,Alameda County,2022-04-09,1511094,1367778,830258
32,Alameda County,2022-04-08,1510755,1367503,829435
33,Alameda County,2022-04-07,1510429,1367237,828698
34,Alameda County,2022-04-06,1510091,1366999,827843
35,Alameda County,2022-04-05,1509887,1366846,827393
36,Alameda County,2022-04-04,1509788,1366768,827114
37,Alameda County,2022-04-03,1509633,1366601,826654
38,Alameda County,2022-04-02,1509311,1366248,825703
39,Alameda County,2022-04-01,1508961,1365964,824902
40,Alameda County,2022-03-31,1508616,1365623,824169
41,Alameda County,2022-03-30,1507866,1365051,822521
42,Alameda County,2022-03-29,1507813,1364959,822381
43,Alameda County,2022-03-28,1507719,1364865,822208
44,Alameda County,2022-03-27,1507618,1364780,822050
45,Alameda County,2022-03-26,1507238,1364413,821143
46,Alameda County,2022-03-25,1506909,1364117,820501
47,Alameda County,2022-03-24,1506492,1363793,819805
48,Alameda County,2022-03-23,1506123,1363502,819048
49,Alameda County,2022-03-22,1505813,1363289,818497
50,Alpine County,2022-05-10,Na,Na,Na
51,Alpine County,2022-05-09,Na,Na,Na
52,Alpine County,2022-05-08,Na,Na,Na
53,Alpine County,2022-05-07,Na,Na,Na
54,Alpine County,2022-05-06,Na,Na,Na
55,Alpine County,2022-05-05,Na,Na,Na
56,Alpine County,2022-05-04,Na,Na,Na
57,Alpine County,2022-05-03,Na,Na,Na
58,Alpine County,2022-05-02,Na,Na,Na
59,Alpine County,2022-05-01,Na,Na,Na
60,Alpine County,2022-04-30,Na,Na,Na
61,Alpine County,2022-04-29,Na,Na,Na
62,Alpine County,2022-04-28,Na,Na,Na
63,Alpine County,2022-04-27,Na,Na,Na
64,Alpine County,2022-04-26,Na,Na,Na
65,Alpine County,2022-04-25,Na,Na,Na
66,Alpine County,2022-04-24,Na,Na,Na
67,Alpine County,2022-04-23,Na,Na,Na
68,Alpine County,2022-04-22,Na,Na,Na
69,Alpine County,2022-04-21,Na,Na,Na
70,Alpine County,2022-04-20,Na,Na,Na
71,Alpine County,2022-04-19,Na,Na,Na
72,Alpine County,2022-04-18,Na,Na,Na
73,Alpine County,2022-04-17,Na,Na,Na
74,Alpine County,2022-04-16,Na,Na,Na
75,Alpine County,2022-04-15,Na,Na,Na
76,Alpine County,2022-04-14,Na,Na,Na
77,Alpine County,2022-04-13,Na,Na,Na
78,Alpine County,2022-04-12,Na,Na,Na
79,Alpine County,2022-04-11,Na,Na,Na
80,Alpine County,2022-04-10,Na,Na,Na
81,Alpine County,2022-04-09,Na,Na,Na
82,Alpine County,2022-04-08,Na,Na,Na
83,Alpine County,2022-04-07,Na,Na,Na
84,Alpine County,2022-04-06,Na,Na,Na
85,Alpine County,2022-04-05,Na,Na,Na
86,Alpine County,2022-04-04,Na,Na,Na
87,Alpine County,2022-04-03,Na,Na,Na
88,Alpine County,2022-04-02,Na,Na,Na
89,Alpine County,2022-04-01,Na,Na,Na
90,Alpine County,2022-03-31,Na,Na,Na
91,Alpine County,2022-03-30,Na,Na,Na
92,Alpine County,2022-03-29,Na,Na,Na
93,Alpine County,2022-03-28,Na,Na,Na
94,Alpine County,2022-03-27,Na,Na,Na
95,Alpine County,2022-03-26,Na,Na,Na
96,Alpine County,2022-03-25,Na,Na,Na
97,Alpine County,2022-03-24,Na,Na,Na
98,Alpine County,2022-03-23,Na,Na,Na
99,Alpine County,2022-03-22,Na,Na,Na
100,Amador County,2022-05-10,27080,21241,9856
101,Amador County,2022-05-09,27077,21239,9854
102,Amador County,2022-05-08,27064,21235,9853
103,Amador County,2022-05-07,27041,21227,9830
104,Amador County,2022-05-06,27033,21223,9824
105,Amador County,2022-05-05,27024,21220,9817
106,Amador County,2022-05-04,27005,21213,9806
107,Amador County,2022-05-03,26987,21204,9798
108,Amador County,2022-05-02,26985,21202,9794
